Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux
Catamenia homochroa,12.314166666666667,11.430625,8.761052631578947,6.212777777777777,4.4541176470588235,6.1475,62.898947368421055,7.388333333333334,54.72315789473684,8.181666666666667,19.708235294117646,14.158823529411764
Catamenia inornata,14.857708333333333,11.27855072463768,9.006060606060606,6.962424242424243,5.179375,7.270983606557377,63.90169230769231,14.185423728813559,57.31815384615385,9.50709090909091,21.969701492537315,13.69375
Catharus ustulatus,19.25,16.37727272727273,11.676923076923076,4.228461538461539,4.740833333333334,9.845,96.42,29.73076923076923,63.54769230769231,0,27.17153846153846,13.6275
Chalcostigma herrani,5.65325,15.874186046511628,11.703125,1.8353061224489795,2.1951111111111112,3.884074074074074,68.96,26.756190476190476,52.3764,25.17064516129032,6.026756756756757,7.342790697674419
Chalcostigma heteropogon,5.776086956521739,16.8,12.6836,1.9235416666666667,2.358163265306122,4.097317073170732,64.28313725490196,37.71636363636364,53.96685185185185,8.944615384615384,6.4213157894736845,6.754146341463414
Chlorornis riefferii,52.6875,20.026666666666667,15.150869565217391,9.6608,7.354347826086957,11.224166666666667,109.40962962962963,19.648076923076925,78.16391304347826,7.459600000000001,28.344285714285714,16.87964285714286
Chlorospingus canigularis,20.77777777777778,14.667857142857143,11.138,5.766153846153847,5.123571428571428,8.709090909090909,68.38933333333334,9.52357142857143,60.846923076923076,20.31692307692308,23.267857142857142,10.057272727272727
Chlorospingus flavopectus,21.169545454545453,13.9436,11.248823529411764,5.575833333333334,4.939607843137255,7.901818181818182,68.72,9.163478260869566,60.23979166666667,5.3480952380952385,22.09686274509804,13.679777777777778
Chordeiles minor,73.34,15.234,8.3575,3.272,4.778,22.604,177.8,90.71333333333334,102.1525,0,15.164,7.2925
Cinclodes excelsior,60,27.900909090909092,24.35,6.213333333333333,5.023,8.2,111.71181818181817,23.385,78.49777777777778,14.71,32.18909090909091,23.814999999999998
Cinnycerthia olivascens,26.302380952380954,18.277045454545455,13.412972972972973,4.904883720930233,4.16,8.550277777777778,68.8254761904762,6.864186046511628,63.90380952380952,21.895135135135135,26.00227272727273,17.579761904761906
Cinnycerthia unirufa,29.687611940298506,18.726698113207547,14.674545454545454,5.047216494845361,4.0840625,8.841639344262296,74.2122,12.746190476190478,71.44745098039216,22.247590361445784,28.1911,18.8275
Cistothorus apolinari,18.042857142857144,16.50227272727273,12.250434782608696,3.505714285714286,3.1026086956521737,6.786521739130435,55.896,5.812173913043479,46.531052631578945,16.636315789473684,24.215,16.135217391304348
Cistothorus platensis,12.618235294117648,14.863076923076923,11.330512820512821,3.2162307692307692,2.9843589743589742,6.493030303030303,47.74414634146341,7.334444444444445,42.62780487804878,12.908823529411764,20.43325,13.520999999999999
