decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,clusters,unique_locality
-76.830194,1.709167,3188,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",3,DJP_72
-76.693722,1.701,3188,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Santa Rosa: El Carmelo, Vda. Los Andes, Sector Las Animas",3,DJP_73
-76.703694,1.728194,2680,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Santa Rosa: El Carmelo, Vda. Los Andes, Sector Las Animas",3,DJP_74
-76.838417,1.717917,2978,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Santa Rosa: El Carmelo, Vda. Los Andes, Sector Las Animas",3,DJP_75
-76.696861,1.707444,3074,Complejo de Paramos Dona Juana-Chimayoy (DJP),Cauca,"Cauca: Santa Rosa: El Carmelo, Vda. Los Andes, Sector Las Animas",3,DJP_76
-76.967944,1.471389,2639,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_77
-76.957028,1.469528,2899,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_78
-76.977389,1.472028,2652,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_79
-76.948139,1.476167,3160,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_80
-76.951,1.469972,3012,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_81
-76.952083,1.470694,2999,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_82
-76.952111,1.470111,2996,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_83
-76.943083,1.475028,3313,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_84
-76.941944,1.475917,3336,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: El Tablon de Gomez: Las Mesas, Vda. La Lava, Laguna el Silencio",3,DJP_85
-76.942639,1.536028,3230,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3,DJP_86
-76.938472,1.526361,3447,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3,DJP_87
-76.952389,1.541194,3052,Complejo de Paramos Dona Juana-Chimayoy (DJP),Narino,"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3,DJP_88
