decimalLongitude,decimalLatitude,Elevation,ParamoComplex,Department,Locality,bio1_23,bio2_23,bio3_23,bio4_23,bio5_23,bio6_23,bio7_23,bio8_23,bio9_23,bio10_23,bio11_23,bio12_23,bio13_23,bio14_23,bio15_23,bio16_23,bio17_23,bio18_23,bio19_23,Cordilleras,clusters
-72.721642,6.398106,2854,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",120,103,78,361,186,54,132,118,120,125,115,1233,188,39,49,439,162,340,237,Oriental,5
-72.731844,6.396181,3090,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Tipacoque: Parque Natural Municipal Robledales de Tipacoque, Vda. La Calera",109,100,76,413,174,44,130,112,108,115,104,1224,176,40,45,423,156,422,251,Oriental,4
-75.807667,3.983944,3120,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Cuenca Rio Bugalagrande, Vda. Miraflores, Fca. la Traviata",77,87,91,159,124,29,95,74,77,78,74,1669,220,77,36,632,280,453,632,Central,1
-75.79985,4.08985,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",64,86,90,198,111,16,95,61,64,66,61,1823,235,89,34,669,314,493,669,Central,1
-75.800417,4.090367,3625,Complejo de Paramos Chili-Barragan (CBG),Valle del Cauca,"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",77,87,91,180,124,29,95,74,77,78,74,1669,220,80,36,629,278,455,629,Central,1
-77.671139,1.108861,3398,Complejo de Paramos Chiles-Cumbal (CHC),Narino,"Narino: Tuquerres: San Roque, Vda. Esnambud",103,89,89,317,152,53,99,104,98,106,98,1196,153,40,37,404,151,386,151,Nudo de los Pastos,4
-75.267428,4.890081,3640,Complejo de Paramos Los Nevados (NVS),Tolima,"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",47,82,86,167,93,-2,95,48,47,49,45,2143,245,88,26,666,365,585,626,Central,1
-75.267428,4.890081,3632,Complejo de Paramos Los Nevados (NVS),Tolima,"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",47,82,86,167,93,-2,95,48,47,49,45,2143,245,88,26,666,365,585,626,Central,1
-75.263217,4.873558,4000,Complejo de Paramos Los Nevados (NVS),Tolima,"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",51,83,85,206,98,1,97,52,51,53,49,2127,244,87,26,661,362,581,622,Central,1
-75.231531,4.899778,3500,Complejo de Paramos Los Nevados (NVS),Tolima,"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo",74,84,87,235,121,25,96,75,72,76,71,2060,239,84,27,647,344,577,588,Central,1
-75.488386,4.813414,3813,Complejo de Paramos Los Nevados (NVS),Risaralda,"Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra",61,84,89,230,107,13,94,62,61,63,57,2152,254,93,27,660,369,618,658,Central,1
-73.115128,5.945564,3193,Complejo de Paramos Guantiva-La Rusia (GLR),Boyaca,"Boyaca: Duitama: Paramo de la Rusia - Virolin, Vda. El Carmen",98,90,78,405,156,41,115,103,98,103,93,1173,174,39,46,415,172,330,195,Oriental,4
-72.598111,7.220833,2700,Complejo de Paramos Almorzadero (ALM),Norte de Santander,Norte de Santander: Chitaga: Vda. Tane,115,91,74,306,172,50,122,115,111,118,111,1052,154,20,52,413,79,284,114,Oriental,4
