Species,mean_Weight,mean_totalCulmen,mean_exposedCulmen,mean_billDepth,mean_billWidth,mean_gape,mean_wingArea,mean_wingLength,mean_distPrimarySecondary,mean_tailLength,mean_tailShape,mean_Tarsus,mean_Hallux,mean_Wingspan
Scytalopus opacus,17.85,11.11,7.12,4.7,4,7.7,NaN,60,2.15,36,16.45,23.96,15.82,NaN
Sphenopsis frontalis,14.024,15.11,9.442499999999999,3.9016666666666664,4.364,8.615,NaN,64.5,3.836666666666667,60,34.14333333333333,18.83,11.422,NaN
Sphenopsis melanotis,14.95,12.805,10.67,3.9349999999999996,4.135,7.615,NaN,66,10.915,69.735,10.155,21.775,13.61,212.5
Spinus psaltria,13,12.1,10.2,6.1,1.6,6.5,273.42,74,51,44,6,13.6,10.5,NaN
Spinus spinescens,14.620952380952382,11.782682926829269,10.163076923076924,6.227297297297297,4.863529411764706,6.751842105263158,3231.3537037037036,67.97613636363636,18.171363636363637,45.51921052631579,1.3688235294117648,15.379999999999999,10.700681818181819,188.35
Sturnella magna,130,42.2,39.2,10.4,7.5,13.5,11138.62,111.9,10.3,80,32.3,44.8,24.2,NaN
Synallaxis azarae,16.266666666666666,13.454,10.344,3.9050000000000002,4.0680000000000005,8.156666666666666,NaN,55.6225,7.1575,87.865,46.385000000000005,22.195,10.5,NaN
Synallaxis subpudica,18,13.756666666666666,10.963333333333333,4.153333333333333,4.403333333333333,8.253333333333334,3961.42,59.5,4.8,92.67333333333333,51,24.096666666666668,9.586666666666666,192
Synallaxis unirufa,16.666666666666668,14.65,11.51,3.8766666666666665,4.2,9.436666666666666,3325.5,52.024,16.573333333333334,91.03333333333333,23.735,23.655,12.6625,192
Systellura longirostris,40.60666666666667,21.97375,14.095,3.4042857142857144,5.983333333333333,17.68,1338.02,156.875,61.4025,110,57.5475,14.74,5.502,NaN
Tangara nigroviridis,16.233333333333334,11.4,8.7,4.4,5.066666666666666,7.4,434.2,73,12.666666666666666,51.666666666666664,NaN,20.733333333333334,8.1,NaN
Tangara vassorii,17.0175,11.216,7.660416666666666,4.808333333333334,4.94764705882353,8.6115,327.31602935,74.33333333333333,14.19,50.50826086956522,13.913809523809524,17.95130434782609,10.170416666666666,214.25
Thlypopsis superciliaris,14.40625,14.70875,9.73,4.565,4.442,7.4,276.77,68.875,8.941666666666666,61.35,29.36,21.19,11.5975,NaN
