occurrenceID	rightsHolder	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordedBy	Source	Date	yearMeasurement	Sex	lifeStage	Department	Municipality	ParamoComplex	Locality	Elevation	decimalLatitude	decimalLongitude	Order	Family	Species	Weight	totalCulmen	exposedCulmen	billDepth	billWidth	gape	wingArea	wingLength	distPrimarySecondary	tailLength	tailShape	Tarsus	Hallux	halluxClaw	Wingspan	Weight_Dunning2008
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5186	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5186	Fanny Lorena Gonzalez Zapata	Field	1-Apr-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3632	4.890081	-75.267428	Apodiformes	Trochilidae	Aglaeactis cupripennis	7	NA	18	1.9	2.2	NA	NA	82	NA	NA	NA	NA	NA	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5188	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5188	Fanny Lorena Gonzalez Zapata	Field	1-Apr-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3632	4.890081	-75.267428	Apodiformes	Trochilidae	Aglaeactis cupripennis	7	NA	16	1.9	2.8	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5157	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5157	Fanny Lorena Gonzalez Zapata	Field	27-Mar-14	2014	Undetermined	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	4000	4.873558	-75.263217	Apodiformes	Trochilidae	Aglaeactis cupripennis	6	NA	20	1.3	2.8	NA	NA	78	NA	NA	NA	NA	9	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5230	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5230	Fanny Lorena Gonzalez Zapata	Field	12-Apr-14	2014	Male	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3820	4.881497	-75.256058	Apodiformes	Trochilidae	Aglaeactis cupripennis	9	25.1	19.4	NA	3.2	NA	NA	80	NA	NA	NA	NA	5.8	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5261	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5261	Fanny Lorena Gonzalez Zapata	Field	18-Apr-14	2014	Male	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3500	4.899778	-75.231531	Apodiformes	Trochilidae	Aglaeactis cupripennis	NA	28.6	20.4	1.9	3	NA	NA	82	NA	NA	NA	NA	7.1	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5158	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5158	Fanny Lorena Gonzalez Zapata	Field	27-Mar-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	4000	4.873558	-75.263217	Apodiformes	Trochilidae	Aglaeactis cupripennis	NA	NA	18.9	1.5	3.3	NA	NA	80	NA	50	NA	NA	NA	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5405	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5405	Alejandra Hurtado Giraldo	Field	1-May-14	2014	Undetermined	Not registered	Risaralda	Santa Rosa de Cabal	Complejo de Paramos Los Nevados (NVS)	"Risaralda: Santa Rosa de Cabal: Vda. La Linda, Sector Cortaderal, Hacienda La Sierra"	3813	4.813414	-75.488386	Apodiformes	Trochilidae	Aglaeactis cupripennis	7	22.2	18.7	1.9	NA	4	NA	77.8	NA	54.7	4.3	NA	NA	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5232	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5232	Fanny Lorena Gonzalez Zapata	Field	12-Apr-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3820	4.881497	-75.256058	Apodiformes	Trochilidae	Aglaeactis cupripennis	6	28.4	18.8	2	2.7	NA	NA	82	NA	51	NA	NA	6.9	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5234	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5234	Fanny Lorena Gonzalez Zapata	Field	12-Apr-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3820	4.881497	-75.256058	Apodiformes	Trochilidae	Aglaeactis cupripennis	9	27.4	21	2.2	3.4	NA	NA	80	NA	52	NA	NA	7.2	NA	NA	7.6
IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5267	WCS	Human observation	IAvH	IAvH	IAvH:SSEYC:LOSNEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN016:5267	Fanny Lorena Gonzalez Zapata	Field	19-Apr-14	2014	Female	Adult	Tolima	Murillo	Complejo de Paramos Los Nevados (NVS)	"Tolima: Murillo: Cgto. El Bosque, Vda. La Cabana, Fca. El Recreo"	3500	4.899778	-75.231531	Apodiformes	Trochilidae	Aglaeactis cupripennis	8	26.1	19.8	NA	3	NA	NA	78	34.4	50	NA	NA	6.2	NA	NA	7.6
